"year","csew.crime","recorded.crime"
"1981",11066000,2964000
"1982",NA,3262000
"1983",11901000,3247000
"1984",NA,3499000
"1985",NA,3612000
"1986",NA,3847000
"1987",13313000,3892000
"1988",NA,3716000
"1989",NA,3871000
"1990",NA,4544000
"1991",15111000,5276000
"1992",NA,5592000
"1993",18355000,5526000
"1994",NA,5253000
"1995",19109000,5100000
"1996",NA,5037000
"1997",16469000,4598000
"1998/99",NA,NA
"1999/00",14762000,5301000
"2000/01",NA,5171000
"2001/02",12532000,5525000
"2002/03",12260000,5975000
"2003/04",11642000,6014000
"2004/05",10679000,5638000
"2005/06",10715000,5555000
"2006/07",11060000,5428000
"2007/08",10002000,4952000
"2008/09",10446000,4703000
"2009/10",9503000,4338000
"Yr end Dec 11",9405000,4043000
"Yr end Dec 12",8933000,3700000
